<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.06.03;15:50:00;0.65143;0.65192;0.65124;0.65190;849;0;3
2022.06.03;16:00:00;0.65190;0.65300;0.65186;0.65278;649;0;2
2022.06.03;16:10:00;0.65278;0.65280;0.65241;0.65267;440;0;3
2022.06.03;16:20:00;0.65267;0.65305;0.65223;0.65280;501;0;0
2022.06.03;16:30:00;0.65281;0.65337;0.65240;0.65282;862;0;2
2022.06.03;16:40:00;0.65288;0.65312;0.65216;0.65273;833;0;0
2022.06.03;16:50:00;0.65276;0.65371;0.65251;0.65347;812;0;1
2022.06.03;17:00:00;0.65374;0.65381;0.65263;0.65297;969;0;2
2022.06.03;17:10:00;0.65294;0.65308;0.65217;0.65282;814;0;2
2022.06.03;17:20:00;0.65279;0.65279;0.65216;0.65237;764;0;3
2022.06.03;17:30:00;0.65233;0.65280;0.65189;0.65215;761;0;3
2022.06.03;17:40:00;0.65214;0.65254;0.65195;0.65224;685;0;2
2022.06.03;17:50:00;0.65224;0.65224;0.65157;0.65186;638;0;2
2022.06.03;18:00:00;0.65185;0.65185;0.65132;0.65155;361;0;3
2022.06.03;18:10:00;0.65155;0.65176;0.65125;0.65161;328;0;2
2022.06.03;18:20:00;0.65161;0.65171;0.65116;0.65130;291;0;4
2022.06.03;18:30:00;0.65129;0.65175;0.65124;0.65170;362;0;3
2022.06.03;18:40:00;0.65170;0.65177;0.65075;0.65081;362;0;3
2022.06.03;18:50:00;0.65082;0.65082;0.65034;0.65035;335;0;3
2022.06.03;19:00:00;0.65035;0.65059;0.65030;0.65050;175;0;1
2022.06.03;19:10:00;0.65050;0.65077;0.65009;0.65010;272;0;2
2022.06.03;19:20:00;0.65010;0.65125;0.65009;0.65125;302;0;4
2022.06.03;19:30:00;0.65125;0.65153;0.65115;0.65149;278;0;4
2022.06.03;19:40:00;0.65148;0.65153;0.65099;0.65123;284;0;4
2022.06.03;19:50:00;0.65123;0.65152;0.65096;0.65151;249;0;3
2022.06.03;20:00:00;0.65153;0.65179;0.65135;0.65149;260;0;1
2022.06.03;20:10:00;0.65149;0.65157;0.65073;0.65073;315;0;5
2022.06.03;20:20:00;0.65073;0.65119;0.65070;0.65100;341;0;5
2022.06.03;20:30:00;0.65100;0.65108;0.65063;0.65090;387;0;5
2022.06.03;20:40:00;0.65090;0.65093;0.65049;0.65075;346;0;5
2022.06.03;20:50:00;0.65076;0.65085;0.65060;0.65067;267;0;5
2022.06.03;21:00:00;0.65065;0.65066;0.65033;0.65043;358;0;7
2022.06.03;21:10:00;0.65043;0.65075;0.65039;0.65074;293;0;5
2022.06.03;21:20:00;0.65075;0.65095;0.65051;0.65094;363;0;6
2022.06.03;21:30:00;0.65094;0.65098;0.65052;0.65060;175;0;7
2022.06.03;21:40:00;0.65058;0.65089;0.65054;0.65086;190;0;6
2022.06.03;21:50:00;0.65086;0.65118;0.65081;0.65118;282;0;5
2022.06.03;22:00:00;0.65118;0.65120;0.65075;0.65083;287;0;6
2022.06.03;22:10:00;0.65083;0.65088;0.65049;0.65066;209;0;5
2022.06.03;22:20:00;0.65069;0.65097;0.65044;0.65097;176;0;6
2022.06.03;22:30:00;0.65097;0.65109;0.65073;0.65091;311;0;1
2022.06.03;22:40:00;0.65092;0.65101;0.65071;0.65085;206;0;7
2022.06.03;22:50:00;0.65083;0.65107;0.65069;0.65103;314;0;7
2022.06.03;23:00:00;0.65104;0.65108;0.65088;0.65105;70;0;8
2022.06.03;23:10:00;0.65105;0.65105;0.65091;0.65104;55;0;9
2022.06.03;23:20:00;0.65104;0.65118;0.65097;0.65102;70;0;9
2022.06.03;23:30:00;0.65100;0.65100;0.65060;0.65069;92;0;8
2022.06.03;23:40:00;0.65068;0.65079;0.65059;0.65060;101;0;11
2022.06.03;23:50:00;0.65062;0.65063;0.65052;0.65052;42;0;17
2022.06.06;00:00:00;0.64985;0.65102;0.64985;0.64985;19;0;53
2022.06.06;00:10:00;0.65075;0.65101;0.64985;0.65061;33;0;44
2022.06.06;00:20:00;0.65064;0.65064;0.65029;0.65051;26;0;45
2022.06.06;00:30:00;0.65064;0.65065;0.65031;0.65057;67;0;32
2022.06.06;00:40:00;0.65057;0.65186;0.65010;0.65061;46;0;40
2022.06.06;00:50:00;0.65061;0.65066;0.65061;0.65064;23;0;47
2022.06.06;01:00:00;0.65059;0.65073;0.65050;0.65056;71;0;17
2022.06.06;01:10:00;0.65056;0.65056;0.65021;0.65029;80;0;17
2022.06.06;01:20:00;0.65029;0.65061;0.65025;0.65025;111;0;13
2022.06.06;01:30:00;0.65025;0.65107;0.65025;0.65105;115;0;13
2022.06.06;01:40:00;0.65106;0.65118;0.65074;0.65112;104;0;11
2022.06.06;01:50:00;0.65112;0.65123;0.65099;0.65111;50;0;12
2022.06.06;02:00:00;0.65110;0.65115;0.65082;0.65085;163;0;3
2022.06.06;02:10:00;0.65086;0.65101;0.65085;0.65092;188;0;12
2022.06.06;02:20:00;0.65092;0.65111;0.65082;0.65097;72;0;15
2022.06.06;02:30:00;0.65098;0.65104;0.65085;0.65092;64;0;14
2022.06.06;02:40:00;0.65092;0.65138;0.65092;0.65126;174;0;6
2022.06.06;02:50:00;0.65127;0.65129;0.65054;0.65055;329;0;10
2022.06.06;03:00:00;0.65056;0.65145;0.65032;0.65135;576;0;8
2022.06.06;03:10:00;0.65135;0.65144;0.65111;0.65127;301;0;9
2022.06.06;03:20:00;0.65129;0.65149;0.65094;0.65102;328;0;10
2022.06.06;03:30:00;0.65103;0.65105;0.65067;0.65070;198;0;10
2022.06.06;03:40:00;0.65071;0.65088;0.65050;0.65060;208;0;9
2022.06.06;03:50:00;0.65067;0.65085;0.65023;0.65036;371;0;5
2022.06.06;04:00:00;0.65036;0.65070;0.65020;0.65064;597;0;9
2022.06.06;04:10:00;0.65065;0.65093;0.65046;0.65080;492;0;8
2022.06.06;04:20:00;0.65080;0.65086;0.65029;0.65029;536;0;8
2022.06.06;04:30:00;0.65029;0.65033;0.64958;0.64990;357;0;7
2022.06.06;04:40:00;0.64990;0.65015;0.64969;0.65012;388;0;10
2022.06.06;04:50:00;0.65012;0.65063;0.65008;0.65046;495;0;10
2022.06.06;05:00:00;0.65046;0.65082;0.65045;0.65074;405;0;6
2022.06.06;05:10:00;0.65075;0.65086;0.65067;0.65068;236;0;10
2022.06.06;05:20:00;0.65068;0.65092;0.65068;0.65087;245;0;9
2022.06.06;05:30:00;0.65090;0.65103;0.65069;0.65100;214;0;8
2022.06.06;05:40:00;0.65100;0.65104;0.65048;0.65050;199;0;9
2022.06.06;05:50:00;0.65050;0.65068;0.65047;0.65059;208;0;9
2022.06.06;06:00:00;0.65061;0.65086;0.65056;0.65079;219;0;9
2022.06.06;06:10:00;0.65083;0.65085;0.65049;0.65054;127;0;9
2022.06.06;06:20:00;0.65054;0.65055;0.65022;0.65023;189;0;9
2022.06.06;06:30:00;0.65024;0.65048;0.65014;0.65021;218;0;3
2022.06.06;06:40:00;0.65021;0.65040;0.65016;0.65019;207;0;9
2022.06.06;06:50:00;0.65019;0.65024;0.64999;0.65006;200;0;9
2022.06.06;07:00:00;0.65005;0.65012;0.64985;0.64999;289;0;4
2022.06.06;07:10:00;0.64999;0.65010;0.64986;0.65009;222;0;4
2022.06.06;07:20:00;0.65009;0.65040;0.64999;0.65034;151;0;4
2022.06.06;07:30:00;0.65034;0.65034;0.65013;0.65020;126;0;5
2022.06.06;07:40:00;0.65020;0.65053;0.65020;0.65040;180;0;4
2022.06.06;07:50:00;0.65040;0.65057;0.65040;0.65055;149;0;3
2022.06.06;08:00:00;0.65055;0.65115;0.65055;0.65112;251;0;3
2022.06.06;08:10:00;0.65112;0.65115;0.65072;0.65075;225;0;3
2022.06.06;08:20:00;0.65075;0.65075;0.65050;0.65065;186;0;3
2022.06.06;08:30:00;0.65065;0.65075;0.65048;0.65072;172;0;3
2022.06.06;08:40:00;0.65072;0.65083;0.65035;0.65035;203;0;4
2022.06.06;08:50:00;0.65035;0.65058;0.65021;0.65036;247;0;3
2022.06.06;09:00:00;0.65041;0.65061;0.65012;0.65037;370;0;2
2022.06.06;09:10:00;0.65037;0.65037;0.64984;0.65008;370;0;3
2022.06.06;09:20:00;0.65009;0.65051;0.65008;0.65049;239;0;3
2022.06.06;09:30:00;0.65050;0.65121;0.65041;0.65121;318;0;3
2022.06.06;09:40:00;0.65119;0.65120;0.65082;0.65099;305;0;4
2022.06.06;09:50:00;0.65098;0.65123;0.65075;0.65112;281;0;3
2022.06.06;10:00:00;0.65110;0.65175;0.65100;0.65137;417;0;3
2022.06.06;10:10:00;0.65137;0.65143;0.65112;0.65120;286;0;3
2022.06.06;10:20:00;0.65120;0.65134;0.65098;0.65118;274;0;2
2022.06.06;10:30:00;0.65119;0.65138;0.65099;0.65138;253;0;2
2022.06.06;10:40:00;0.65139;0.65163;0.65092;0.65153;324;0;4
2022.06.06;10:50:00;0.65154;0.65229;0.65146;0.65228;362;0;0
2022.06.06;11:00:00;0.65228;0.65244;0.65203;0.65227;293;0;3
2022.06.06;11:10:00;0.65224;0.65340;0.65222;0.65309;354;0;2
2022.06.06;11:20:00;0.65309;0.65331;0.65292;0.65326;203;0;3
2022.06.06;11:30:00;0.65326;0.65344;0.65298;0.65326;236;0;1
2022.06.06;11:40:00;0.65329;0.65347;0.65317;0.65334;226;0;2
2022.06.06;11:50:00;0.65334;0.65364;0.65318;0.65352;213;0;1
2022.06.06;12:00:00;0.65352;0.65358;0.65315;0.65329;220;0;3
2022.06.06;12:10:00;0.65329;0.65365;0.65316;0.65356;181;0;1
2022.06.06;12:20:00;0.65356;0.65362;0.65337;0.65351;153;0;2
2022.06.06;12:30:00;0.65352;0.65359;0.65311;0.65312;181;0;1
2022.06.06;12:40:00;0.65312;0.65313;0.65260;0.65289;247;0;1
2022.06.06;12:50:00;0.65291;0.65295;0.65257;0.65289;184;0;3
2022.06.06;13:00:00;0.65290;0.65293;0.65263;0.65270;170;0;4
2022.06.06;13:10:00;0.65257;0.65294;0.65249;0.65282;152;0;2
2022.06.06;13:20:00;0.65282;0.65305;0.65265;0.65270;205;0;3
2022.06.06;13:30:00;0.65270;0.65271;0.65194;0.65194;167;0;2
2022.06.06;13:40:00;0.65194;0.65210;0.65188;0.65195;142;0;0
2022.06.06;13:50:00;0.65195;0.65244;0.65195;0.65224;204;0;2
2022.06.06;14:00:00;0.65227;0.65254;0.65212;0.65224;185;0;3
2022.06.06;14:10:00;0.65224;0.65235;0.65210;0.65216;172;0;3
2022.06.06;14:20:00;0.65210;0.65246;0.65205;0.65244;166;0;1
2022.06.06;14:30:00;0.65244;0.65266;0.65243;0.65257;142;0;3
2022.06.06;14:40:00;0.65257;0.65277;0.65247;0.65258;165;0;2
2022.06.06;14:50:00;0.65258;0.65299;0.65251;0.65287;239;0;3
2022.06.06;15:00:00;0.65287;0.65299;0.65269;0.65283;244;0;3
2022.06.06;15:10:00;0.65283;0.65295;0.65258;0.65260;185;0;3
2022.06.06;15:20:00;0.65260;0.65264;0.65223;0.65261;239;0;3
2022.06.06;15:30:00;0.65261;0.65267;0.65242;0.65244;203;0;1
2022.06.06;15:40:00;0.65244;0.65263;0.65217;0.65257;257;0;3
2022.06.06;15:50:00;0.65257;0.65282;0.65242;0.65280;264;0;4
2022.06.06;16:00:00;0.65280;0.65286;0.65265;0.65275;249;0;4
2022.06.06;16:10:00;0.65275;0.65293;0.65256;0.65264;209;0;3
2022.06.06;16:20:00;0.65264;0.65276;0.65250;0.65253;173;0;2
2022.06.06;16:30:00;0.65253;0.65306;0.65244;0.65263;521;0;1
2022.06.06;16:40:00;0.65263;0.65304;0.65243;0.65268;494;0;2
2022.06.06;16:50:00;0.65267;0.65301;0.65247;0.65301;508;0;1
2022.06.06;17:00:00;0.65301;0.65337;0.65290;0.65291;478;0;2
2022.06.06;17:10:00;0.65291;0.65307;0.65210;0.65225;505;0;1
2022.06.06;17:20:00;0.65225;0.65225;0.65137;0.65169;439;0;2
2022.06.06;17:30:00;0.65170;0.65184;0.65088;0.65095;415;0;0
2022.06.06;17:40:00;0.65095;0.65124;0.65061;0.65121;453;0;1
2022.06.06;17:50:00;0.65121;0.65173;0.65118;0.65141;554;0;2
2022.06.06;18:00:00;0.65142;0.65146;0.65055;0.65063;413;0;1
2022.06.06;18:10:00;0.65062;0.65062;0.64929;0.64929;472;0;1
2022.06.06;18:20:00;0.64929;0.64951;0.64849;0.64855;468;0;2
2022.06.06;18:30:00;0.64856;0.64894;0.64849;0.64884;445;0;2
2022.06.06;18:40:00;0.64884;0.64978;0.64883;0.64932;360;0;1
2022.06.06;18:50:00;0.64932;0.64984;0.64926;0.64977;347;0;3
2022.06.06;19:00:00;0.64974;0.64977;0.64911;0.64936;350;0;2
2022.06.06;19:10:00;0.64936;0.64962;0.64922;0.64946;329;0;3
2022.06.06;19:20:00;0.64945;0.64957;0.64884;0.64890;283;0;3
2022.06.06;19:30:00;0.64890;0.64930;0.64872;0.64928;234;0;3
2022.06.06;19:40:00;0.64928;0.64947;0.64923;0.64935;231;0;3
2022.06.06;19:50:00;0.64935;0.64959;0.64912;0.64955;274;0;2
2022.06.06;20:00:00;0.64958;0.64958;0.64910;0.64917;238;0;2
2022.06.06;20:10:00;0.64918;0.64938;0.64892;0.64928;308;0;8
2022.06.06;20:20:00;0.64928;0.64947;0.64918;0.64942;222;0;6
2022.06.06;20:30:00;0.64942;0.65017;0.64934;0.65005;275;0;5
2022.06.06;20:40:00;0.65005;0.65025;0.64977;0.64988;324;0;5
2022.06.06;20:50:00;0.64990;0.65001;0.64961;0.64970;269;0;8
2022.06.06;21:00:00;0.64970;0.64974;0.64921;0.64935;233;0;6
2022.06.06;21:10:00;0.64933;0.64951;0.64918;0.64929;263;0;6
2022.06.06;21:20:00;0.64928;0.64928;0.64853;0.64874;342;0;5
2022.06.06;21:30:00;0.64874;0.64887;0.64864;0.64868;277;0;6
2022.06.06;21:40:00;0.64869;0.64899;0.64869;0.64872;239;0;8
2022.06.06;21:50:00;0.64871;0.64890;0.64843;0.64874;342;0;4
2022.06.06;22:00:00;0.64872;0.64879;0.64847;0.64861;282;0;4
2022.06.06;22:10:00;0.64861;0.64881;0.64851;0.64856;259;0;5
2022.06.06;22:20:00;0.64856;0.64881;0.64849;0.64870;229;0;6
2022.06.06;22:30:00;0.64870;0.64909;0.64868;0.64907;298;0;6
2022.06.06;22:40:00;0.64910;0.64944;0.64904;0.64914;364;0;6
2022.06.06;22:50:00;0.64929;0.64946;0.64915;0.64934;428;0;5
2022.06.06;23:00:00;0.64934;0.64934;0.64901;0.64902;121;0;8
2022.06.06;23:10:00;0.64902;0.64910;0.64902;0.64910;56;0;8
2022.06.06;23:20:00;0.64910;0.64910;0.64896;0.64903;35;0;9
2022.06.06;23:30:00;0.64903;0.64903;0.64888;0.64892;27;0;10
2022.06.06;23:40:00;0.64892;0.64894;0.64874;0.64884;34;0;12
2022.06.06;23:50:00;0.64884;0.64905;0.64874;0.64905;69;0;13
2022.06.07;00:00:00;0.64932;0.64932;0.64810;0.64888;47;0;29
2022.06.07;00:10:00;0.64888;0.64888;0.64860;0.64884;37;0;42
2022.06.07;00:20:00;0.64884;0.64888;0.64870;0.64887;23;0;41
2022.06.07;00:30:00;0.64886;0.64907;0.64870;0.64904;45;0;39
2022.06.07;00:40:00;0.64904;0.64905;0.64880;0.64890;31;0;38
2022.06.07;00:50:00;0.64890;0.64894;0.64861;0.64891;39;0;34
2022.06.07;01:00:00;0.64886;0.64920;0.64886;0.64907;90;0;20
2022.06.07;01:10:00;0.64907;0.64911;0.64893;0.64902;63;0;18
