<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.06.29;02:40:00;0.69087;0.69100;0.69071;0.69077;476;0;1
2022.06.29;02:50:00;0.69076;0.69083;0.69025;0.69032;615;0;0
2022.06.29;03:00:00;0.69032;0.69108;0.69005;0.69081;1203;0;0
2022.06.29;03:10:00;0.69080;0.69173;0.69075;0.69167;864;0;0
2022.06.29;03:20:00;0.69166;0.69200;0.69149;0.69193;726;0;0
2022.06.29;03:30:00;0.69193;0.69198;0.69102;0.69103;914;0;0
2022.06.29;03:40:00;0.69104;0.69129;0.69054;0.69083;1252;0;0
2022.06.29;03:50:00;0.69083;0.69091;0.69004;0.69019;996;0;0
2022.06.29;04:00:00;0.69016;0.69027;0.68965;0.69021;1316;0;0
2022.06.29;04:10:00;0.69021;0.69047;0.69015;0.69038;937;0;1
2022.06.29;04:20:00;0.69039;0.69073;0.69018;0.69071;539;0;0
2022.06.29;04:30:00;0.69071;0.69178;0.69066;0.69158;1130;0;0
2022.06.29;04:40:00;0.69159;0.69171;0.69104;0.69117;1329;0;1
2022.06.29;04:50:00;0.69118;0.69150;0.69093;0.69116;994;0;0
2022.06.29;05:00:00;0.69115;0.69188;0.69102;0.69126;826;0;0
2022.06.29;05:10:00;0.69126;0.69138;0.69085;0.69097;1166;0;0
2022.06.29;05:20:00;0.69100;0.69149;0.69094;0.69100;836;0;0
2022.06.29;05:30:00;0.69100;0.69156;0.69096;0.69110;900;0;0
2022.06.29;05:40:00;0.69110;0.69155;0.69110;0.69127;1195;0;0
2022.06.29;05:50:00;0.69126;0.69155;0.69121;0.69144;832;0;0
2022.06.29;06:00:00;0.69145;0.69169;0.69086;0.69087;1092;0;0
2022.06.29;06:10:00;0.69087;0.69087;0.69005;0.69026;683;0;0
2022.06.29;06:20:00;0.69026;0.69086;0.69022;0.69060;812;0;0
2022.06.29;06:30:00;0.69060;0.69099;0.69051;0.69095;820;0;0
2022.06.29;06:40:00;0.69093;0.69117;0.69061;0.69062;594;0;0
2022.06.29;06:50:00;0.69063;0.69087;0.69055;0.69066;514;0;0
2022.06.29;07:00:00;0.69065;0.69097;0.69052;0.69082;618;0;0
2022.06.29;07:10:00;0.69084;0.69094;0.69055;0.69077;458;0;0
2022.06.29;07:20:00;0.69077;0.69079;0.69032;0.69049;499;0;0
2022.06.29;07:30:00;0.69049;0.69102;0.68998;0.69076;1105;0;0
2022.06.29;07:40:00;0.69080;0.69157;0.69069;0.69136;856;0;1
2022.06.29;07:50:00;0.69134;0.69137;0.69082;0.69083;1120;0;1
2022.06.29;08:00:00;0.69083;0.69118;0.69066;0.69077;1058;0;0
2022.06.29;08:10:00;0.69076;0.69076;0.69040;0.69055;542;0;0
2022.06.29;08:20:00;0.69051;0.69066;0.69039;0.69052;559;0;0
2022.06.29;08:30:00;0.69052;0.69073;0.68991;0.68997;531;0;1
2022.06.29;08:40:00;0.68997;0.69001;0.68920;0.68993;612;0;0
2022.06.29;08:50:00;0.68993;0.69004;0.68950;0.68985;631;0;0
2022.06.29;09:00:00;0.68984;0.68985;0.68911;0.68912;1192;0;0
2022.06.29;09:10:00;0.68912;0.68955;0.68852;0.68852;882;0;0
2022.06.29;09:20:00;0.68852;0.68887;0.68838;0.68861;946;0;0
2022.06.29;09:30:00;0.68861;0.68871;0.68828;0.68836;877;0;0
2022.06.29;09:40:00;0.68834;0.68847;0.68805;0.68822;772;0;0
2022.06.29;09:50:00;0.68820;0.68841;0.68782;0.68816;825;0;0
2022.06.29;10:00:00;0.68818;0.68912;0.68817;0.68884;1994;0;0
2022.06.29;10:10:00;0.68885;0.68918;0.68866;0.68875;1208;0;0
2022.06.29;10:20:00;0.68874;0.68879;0.68832;0.68849;1045;0;0
2022.06.29;10:30:00;0.68848;0.68868;0.68810;0.68833;1370;0;0
2022.06.29;10:40:00;0.68833;0.68919;0.68823;0.68881;1477;0;0
2022.06.29;10:50:00;0.68882;0.68896;0.68856;0.68860;1134;0;0
2022.06.29;11:00:00;0.68860;0.68934;0.68833;0.68915;1327;0;0
2022.06.29;11:10:00;0.68915;0.68930;0.68826;0.68831;1013;0;0
2022.06.29;11:20:00;0.68832;0.68853;0.68799;0.68805;575;0;1
2022.06.29;11:30:00;0.68805;0.68827;0.68791;0.68813;465;0;1
2022.06.29;11:40:00;0.68813;0.68813;0.68743;0.68772;630;0;0
2022.06.29;11:50:00;0.68772;0.68787;0.68739;0.68780;742;0;0
2022.06.29;12:00:00;0.68780;0.68796;0.68728;0.68769;1044;0;0
2022.06.29;12:10:00;0.68768;0.68816;0.68759;0.68780;878;0;0
2022.06.29;12:20:00;0.68781;0.68817;0.68767;0.68767;660;0;0
2022.06.29;12:30:00;0.68766;0.68817;0.68737;0.68802;651;0;0
2022.06.29;12:40:00;0.68801;0.68841;0.68770;0.68770;759;0;0
2022.06.29;12:50:00;0.68769;0.68770;0.68616;0.68634;923;0;0
